,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
10,BAURAN PROMOSI PADA DEALER YAMAHA TRETAN MOTOR DENGAN PENDEKATAN MIXED METHODS, INTAN YULLIA NINGSIH," DR. MOHAMMAD ARIEF, S.E., M.M.",,"ABSTRAK
Penelitian ini bertujuan: (1) Untuk mengetahui apakah bauran promosi yang terdiri dari periklanan (X1), penjualan pribadi (X2), promosi penjualan (X3), hubungan masyarakat (X4) dan pemasaran langsung (X5) berpengaruh terhadap keputusan pembelian (Y) pada Dealer Yamaha Tretan Motor. (2) Untuk mengetahui bauran promosi yang diterapkan pada Dealer Yamaha Tretan Motor. Metode penelitian yang digunakan dalam penelitian ini adalah mixed methods yaitu gabungan antara metode kuantitatif dan kualitatif. Strategi pengumpulan data menggunakan eksplanatoris sekuensial. Analisis data menggunakan pendekatan kuantitatif dan kualitatif. Hasil penelitian menunjukkan bahwa pada penelitian kuantitatif semua masing-masing variabel yang terdiri dari periklanan, penjualan pribadi, promosi penjualan, hubungan masyarakat dan pemasaran langsung berpengaruh signifikan terhadap variabel keputusan pembelian dan penelitian Kuantitatif tersebut didukung dengan pendekatan kualitatif yaitu bauran promosi yang diterapkan pada Dealer Yamaha Tretan Motor.
Kata Kunci: Periklanan, penjualan pribadi, promosi penjualan, hubungan masyarakat, pemasaran langsung dan keputusan pembelian.
"
11,PERAN SERVICE PERFORMANCE DAN CLIMATE ORGANIZATION TERHADAP KEPUASAN NASABAH BERDASARKAN PERSEPSI (STUDI KASUS MAHASISWA UNIVERSITAS TRUNOJOYO MADURA PENGGUNA ATM BANK BTN), ACH FATHONI," YUDHI PRASETYA MADA, S.E., M.M.",,"ABSTRAK
Tujuan dari penelitian ini adalah untuk mengetahui peran service performance dan climate organization secara parsial maupun simultan dan untuk mengetahui apakah kedua variable berpengaruh terhadap kepuasan nasabah berdasarkan persepsi (Studi pada mahasiswa Universitas Trunojoyo Madura).  
Penelitian ini menggunakan metode kuantitatif, metode pengambilan sampel yang digunakan adalah Accidental Samplig dengan jumlah sampel sebesar 100 responden. Analisis yang digunakan dalam penelitian ini adalah menggunakan uji validitas, uji reliabilitas, uji normalitas, uji multikolinieritas, uji heterokedastisitas, regresi linier berganda, uji F (simultan) dan Uji T (Parsial)
Berdasarkan hasil penelitian menunjukkan pada dasarnya nasabah merasakan kepuasan  dapat dipengaruhi oleh beberapa faktor yang terkait dengan layanan dan suasananya. Salah satunya yang telah diteliti dalam penelitian ini yakni berkaitan dengan service performance dan climate organization, untuk mengetahui apakah benar-benar berpengaruh item yang ada dalam service performance dan climate organization yang terdapat pada pengguna ATM Bank BTN serta sejauh mana pengaruh masing-masing item  service performance dan climate organization tersebut mempengaruhi kepuasan nasabah pengguna ATM Bank BTN. Hal ini dapat diuji dengan uji hipotesis yang terdiri dari uji t dan uji f sebagai berikut hasilnya, untuk  uji t (parsial) variabel service performance (X1) dengan thitung sebesar  4,656 > ttabel 1,985 dengan tingkat signifkansi sebesar 0,000 < 0,05 dan variabel climate organization (X2) dengan thitung sebesar  2,661 > ttabel 1,985 dengan tingkat signifkansi sebesar 0,009 < 0,05. Dengan demikian dapat disimpukan bahwa kedua variable berpengaruh positif dan signifikan terhadap variabel dependennya sedangkan untuk uji f (simultan) menunjukkan Fhitung sebesar 113,463 > Ftabel 3,09 dengan signifikansi sebesar  0,000 < 0,05. Dengan demikian dapat disimpulkan bahwa kedua variable berpengaruh positif dan signifikan terhadap variabel dependennya secara  bersama - sama
Kata Kunci: Service Performance, Cilmate Orgaization, Kepuasan Pelanggan.
"
12,AN ANALYSIS OF CATEGORY SHIFT IN THE ENGLISH TRANSLATION OF THESIS ABSTRACT OF LAW FACULTY STUDENTS AT UNIVERSITY OF TRUNOJOYO MADURA, Sulfi Amalia," Dr. Masduki, M.Pd",,"Sulfi Amalia. 15.05.111.00021. English Study Program. An Analysis of Category Shift in The English Translation of Thesis Abstract of Law Faculty at Universitas Trunojoyo Madura

 The aim of this study is to explain kinds of category shift and the degrees of equivalent meaning occur in thesis abstract found at Universitas Trunojoyo Madura. In analyzing the data, the writer uses Catfordâs theory for kinds of category shift, and Nidaâs theory in explain equivalent meaning. Here, the writer found that there are 30 data belong to category shift. 
The methods of data collection used document analysis. The writer also used descriptive qualitative research design, the data of this study are explained descriptively which suit with devices and functions relate to the statements of the problem as have shown in the form of words, phrases and sentences. 
The results show that thesis abstract contains category shift (30), structure shift (30), class shift (30), unit shift (30), and intra system shift (30). Furthermore, the equivalent meaning used in that thesis abstract are complete meaning (24), increase meaning (2) and decrease meaning (2).

Keywords : Category shift, translation, equivalent meaning.?
"
13,"PENGEMBANGAN WISATA DENGAN PENDEKATAN PENGEMBANGAN
EKONOMI LOKAL
(Kasus : DAM (Bendungan) Jati Goranggareng, Nguntoronadi, Kabupaten
Magetan)", Sholikah Nur Aisah Putri," Selamet Joko Utomo, S.E., M.E.",,"Tujuan penelitian ini adalah untuk bagaimana pengembangan ekonomi lokal. wisata DAM Jati di Desa Goranggareng, Kecamatan Nguntoronadi, Kabupaten Magetan. Pengembangan ekonomi lokal merupakan konsep pengembangan wilayah dalam upaya pemanfaatan dan dan pemberdayaan sumber daya lokal baik fisik, masyarakat, maupun kelembagaan. Dalam prinsip penerapan pengembangan ekonomi lokal lebih mengedepankan pendekatan kemitraan sebagai penentu keberlangsungan dan keberlanjutan ekonomi. Penelitian ini dilakukan secara deskriptif kualitatif. DenganTeknik pengumpulan data berupa wawancara, observasi, dan dokumentasi. Keabsahan data pada penelitian ini dengan menggunakan triangulasi sumber. Unit analisis penelitian ini adalah: Penggunaan potensi sumber daya manusia, Institusi atau kelembagaan, dan Pemanfaatan Sumber daya alam (fisik). 
Kesimpulan penelitian studi ini adalah dengan adanya pengembangan ekonomi lokal ini memberikan dampak yang positif khususnya bagi masyarakat di Desa Goranggareng. 1. Adanya wisata DAM Jati ini memberikan kesempatan kerja bagi masyarakat dengan menjadi pengelola dan pekerja atau petugas di objek wisata DAM Jati. wisata DAM Jati juga membuka kesempatan usaha untuk masyarakat lokal yakni berdagang, dan meningkatkan pendapatan atau penghasilan lebih bagi masyarakat Desa Goranggareng. 2. Dalam promosi wisata DAM Jati pihak pengelola sendiri bekerjasama dengan pihak pemerintah desa, tidak ada kerjasama antara masyarakat maupun pemerintah dengan pihak swasta sehingga hanya ada kerjasama kerja antara masyarakat dengan pemerintah saja. 3. Keadaan Alam dan lingkungan DAM Jati setelah adanya wisata DAM Jati menjadi lebih terjaga dan tertib. Dengan adanya pengelola wisata lahan yang pada awalnya gundul kemudian ditanami dan rajin di siram, terdapat pula budidaya hewan seperti burung dara. Dalam pengembangan sendiri terdapat kendala dalam rencana pembuatan wahana baru dan pengajuan perbaikan jalan dimana terkendala ijin oleh pihak Balai Besar Wilayah Sungai Bengawan Solo sehingga menghambat dalam proses pengembangannya.

Kata Kunci : DAM Jati, Pengembangan wisata, Pengembangan Ekonomi Lokal."
14,HUBUNGAN NILAI SOSIAL DENGAN PERILAKU ALTRUISME PADA MASYARAKAT RELAWAN INDONESIA (MRI) DI SURABAYA, ISROH DWI NURLITA," FANDI ROSI SARWO EDI, S.K.M., S.Psi., M.Psi",,"Mayarakat relawan Indonesia (MRI) Surabaya terbentuk sebagai salah satu wadah relawan sosial kemanuisaan dengan memberikan bantuan tanpa pamrih sebagai bentuk perilaku altruisme. Salah satu faktor yang mempengaruhi perilaku altuisme adalah nilai sosial. Penelitian ini bertujuan untuk mengetahui hubungan nilai sosial dengan perilaku altruisme pada Masyarakat Relawan Indonesia (MRI) di Surabaya. Hipotesis yang diajukan adalah ada hubungan nilai sosial dengan perilaku altruisme pada Masyarakat Relawan Indonesia (MRI) di Surabaya. Pendekatan yang digunakan adalah kuantitatif dengan metode analisis korelasi. Teknik pengumpulan data dalam penelitian ini adalah teknik purposive sampling dengan jumlah sampel sebanyak 110 anggota Masyarakat Relawan Indonesia (MRI) di Surabaya yang aktif. Metode pengumpulan data menggunakan skala likert dengan dua jenis skala yaitu skala perilaku altruisme dan skala nilai sosial. Pada variabel perilaku altruisme diungkap berdasarkan aspek yang dikemukakan oleh Arifin (2015) yaitu empati, interpretasi, social responsibility, inisiatif dan rela berkorban sedangkan pada variabel nilai sosial diungkap berdasarkan bentuk nilai sosial oleh Zubaedi (2012) yaitu loves (nilai kasih sayang), responsibility (tanggung jawab) dan life harmony (keserasian hidup). Metode analisis data menggunakan uji korelasi Spearman Rank dengan bantuan program SPSS 23.0 for windows.
Hasil penelitian memperoleh nilai signifikansi sebesar 0,000 (sig. 0,00 < 0,05) dengan koefisien korelasi 0,789 hal tersebut membuktikan ada hubungan positif yang sangat signifikan antara nilai sosial dan perilaku altruisme subjek. Dengan demikian hipotesis yang diajukan dalam penelitian ini diterima, artinya ada hubungan nilai sosial dengan perilaku altruisme pada Masyarakat Relawan Indonesia (MRI) di Surabaya. Semakin tinggi nilai sosial yang dimiliki masyarakat relawan Indonesia (MRI) maka semakin tinggi pula perilaku altruisme. 

Kata Kunci : Nilai Sosial, Perilaku Altruisme, Relawan 
"
15,"Strategi Bertahan Hidup Buruh Tani Wanita Dalam Menghadapi Modernisasi Alat-alat Pertanian (Studi Pada Buruh Tani Wanita Di Desa Dasok, Kecamatan Pademawu, Kabupaten Pamekasan)", Citra Zelyn Pratiwi," Dr. Arie Wahyu Prananta, S.Pi,.M.sos",,"ABSTRAK 
Tujuan dari penelitian ini yaitu untuk mengetahui bagaimana strategi bertahan hidup yang dilakukan oleh buruh tani wanita dalam menghadapi modernisasi alat-alat pertanian. Strategi bertahan hidup dalam penelitian ini dibagi kedalam dua kajian utama yaitu bentuk strategi aktif dan strategi jaringan. Subjek dari penelitian ini yaitu buruh tani wanita dengan karakteristik yang telah ditentukan. Metode penelitian menggunakan penelitian kualitatif dengan pendekatan fenomenoogi. Metode pengumpulan data menggunakan observasi non-partisipan, wawancara dan dokumentasi. Informan dipilih dengan metode purposive sampling. Analisis data menggunakan model analisis data Miles dan Huberman. Teknik pemeriksaan keabsahan data menggunakan teknik triangulasi sumber. Hasil dari penelitian ini menemukan bentuk strategi bertahan hidup yang dilakukan oleh buruh tani wanita dalam menghadapi modernisasi alat-alat pertanian untuk mempertahankan identitas dan eksistensi mereka untuk memenuhi kebutuhan perekonomian keluarganya dan tidak tergerus oleh alat pertanian modern yaitu dengan strategi aktif dan strategi jaringan. Strategi aktif dilakukan dengan cara meningkatkankan disiplin dan profesionalitas dalam bekerja serta menyebarkan rumor dampak negatif alat pertanian modern. Strategi jaringan yaitu dengan cara saling tolong-menolong antar buruh tani ketika ada yang membutuhkan seperti melakukan sistem âurunanâ (sistem tukar jasa). Alasan buruh tani melakukan strategi bertahan hidup tersebut yaitu karena faktor pekerjaan dan penghasilan, eksistensi buruh tani wanita, dan lingkungan. Dampak dari adanya strategi bertahan hidup buruh tani wanita tersebut yaitu dampak positifnya tersedianya peluang kerja, buruh tani wanita dapat mengekspresikan haknya sebagai perempuan, sektor pertanian terbantu dengan adanya buruh tani wanita serta hubungan tolong-menolong antar buruh tani tetap terjaga. Sedangkan dampak negatifnya yaitu, inovasi dan pengetahuan masyarakat akan terbatas, waktu produksi tidak efisien serta, masyarakat menjadi terbelakang

Kata Kunci: Strategi Bertahan Hidup, Buruh Tani Wanita, Modernisasi, Alat Pertanian.
 
"
16,INTIMACY AYAH (SINGLE PARENT) TERHADAP ANAK PEREMPUANNYA, SEPTIANA CAHYANINGRUM," YAN ARIYANI, S. PSI., M. PSI., PSIKOLOG",,"ABSTRAK
Penelitian ini bertujuan untuk mengetahui gambaran intimacy ayah (single parent) terhadap anak perempuannya. Metode penelitian yang digunakan dalam penelitian ini adalah metode penelitian deskripsi kualitatif dengan pendekatan fenomenologi. Hasil dari penelitian ini ditinjau dari aspek intimacy menurut Masters (2013) yaitu: 1. Memahami (caring) dan berbagi (sharing), para subjek berbagi informasi  terkait kesehariannya serta memahami anaknya dengan menyesuaikan apa yang anaknya inginkan, namun para subjek tidak menceritakan tentang perceraian yang menimpanya. 2. Kepercayaan, ditunjukkan dengan memperbolehkan anaknya untuk mengikuti kegiatan dengan pertimbangan tertentu, subjek juga tetap mengontrol kegiatan anak meskipun sibuk bekerja. 3. Komitmen, ditunjukkan dengan adanya kesepakatan yang dibuat oleh subjek dan anaknya dan telah disetujui untuk dilaksanakan bersama. Subjek dan anaknya mempertahankan komitmen dengan cara saling mengingatkan. 4. Kejujuran, ditunjukkan dengan membiasakan untuk tidak berbohong, meskipun subjek tidak menceritakan perceraiannya. 5.Empati, ditunjukkan dengan subjek mampu merasakan apa yang dirasakan oleh anaknya hanya dengan melihat dari wajah dan gerak geriknya. 6. Kelembutan, ditunjukkan oleh subjek melalui banyak kontak fisik dengan anaknya. kontak fisik yang dilakukan oleh subjek adalah berjabat tangan, memeluk, bergandengan tangan, mengelus kepala anak, dan lainnya. 

Kata Kunci: Intimacy, single parent, ayah, anak perempuan."
17,"BENTUK PERLAWANAN MASYARAKAT TERHADAP GALIAN C
(Studi Kasus Perlawanan Masyarakat terhadap Galian C di Dukuh Bedug Desa Bulu Kecamatan Berbek Kabupaten Nganjuk)", mohammad sa'nun fauzi," Khoirul Rosyadi, SS., M.Si., Ph.D",,"Tujuan dari penelitian ini adalah untuk mengambarkan serta menjelaskan bagaimana bentuk perlawanan yang terjadi di dalam masyarakat Dk Bedug Desa Bulu Kecamatan Berbek Kabupaten Nganjuk dengan adanya pertambangan Galian Golongan C, baik secara terbuka maupun tertutup.
 Penelitian ini menggunakan konsep pemikiran James C Scott tentang perlawanan sebagai pisau analisa dalam penelitian ini. Sedangkan dalam metode, penelitian ini menggunakan penelitian kualitatif dengan pendekatan Studi Kasus, serta dalam penggalian data menggunakan metode pengumpulan data primer berupa observasi dan wawancara serta menggunakan pengumpulan data sekunder
 Hasil dari penelitian ini didapati bahwa adanya perlawanan di dalam masyarakat Dk Bedug Desa Bulu Kecamatan Berbek Kabupaten Nganjuk dari adanya galian golongan C mulai dari masuknya penambang yang pertama sampai beralih ke penambang yang sampai sekarang akti menambang, perlawanan ini dilakukan karena dengan adanya galian C fasilitas merusak fasilitas umum dan linkungan serta polusi yang diakibatkan lalu lalang kendaraan truk yang mengganggu aktifitas warga. Peran serta pemerintah dari adanya galian C yang berat sebelah mengakibatkan perubahan perlawanan dalam masyarakat. 
Kata Kunci : Perlawanan. Galian C. Masyarakat."
18,ANALISIS RATA-RATA KEMAMPUAN BERPIKIR KRITIS SISWA SMP MATERI PEMANASAN GLOBAL DENGAN SOAL BERBASIS PENDEKATAN SOCIOSCIENTIFIC ISSUES (SSI), SA'ADAH," ANA YUNIASTI RETNO WULANDARI, S.PD., M.PD.","AIDA FIKRIYAH, S.PD., M.PD.","Penelitian ini bertujuan untuk mengetahui rata-rata hasil kemampuan berpikir kritis siswa pada materi pemanasan global dengan soal berbasis pendekatan socioscientific issues (SSI). Metode penelitian yang digunakan adalah deskriptif kuantitatif. Populasi penelitian adalah siswa-siswi kelas VII SMPN 06 Gresik, sedangkan sampel penelitian diambil sebayak 20 orang dengan menggunakan teknik pengambilan sampel purposive sampling. Hasil penelitian menunjukkan bahwa rata-rata kemampuan berpikir kritis siswa sebesar 74,1 dengan kriteria sedang.

Kata kunci: Kemampuan Berpikir Kritis, Pemanasan Global, Socioscientific Issues (SSI)
"
19,"STRATEGI PENGUATAN KEPERCAYAAN
( Studi Pada Pemeluk Agama Hindu Di  Desa Sukorejo, Kecamatan Wates, 
Kabupaten Blitar)", Ayu Aprilia Puji Lestari," Bangun Sentosa Dwi Haryanto., S.Sos., M.Si., Ph.D",,"Abstrak - Ayu Aprilia Puji Lestari, NIM 160521100063, Program Studi Sosiologi Fakultas Ilmu Sosial Dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang Strategi Dalam Mempertahankan Agama Hindu (Studi Kasus Pda Masyarakat Desa Sukorejo Kecamatan Wates Kabupaten Blitar) yang dibimbing oleh Bapak Bangun Sentosa dwi Haryanto., Ph.D.
 Indonesia merupakan negara yang memiliki keanekaragaman baik suku, budaya, adat dat agama. Agama Hindu adalah agama yang tertua di Indonesia. Hal tersebut dapat dibuktikan dengan adanya peninggalan â peninggalan kerajaan Kutai yang masih ada sampai sekarang. Kerajaan Kutai sendiri juga merupakan kerajaan tertua yang ada di Indonesia. Di salah satu desa yang ada di Kabupaten Blitar tepatnya di Desa Sukorejo Kecamatan Wates terdapat suatu daerah yang memiliki umat Hindu terbanyak dari desa yang lain. Namun seiring berjalannya waktu semakin banyak umat hindu yang melakukan pindah agama atau keluar dari agama Hindu. 
Tujuan dari penelitian ini adalah untuk mengetahui bagaimana strategi dalam mempertahankan agama Hindu pada masyarakat Desa Sukorejo Kecamatan Wates Kabupaten Blitar. Penelitian ini menggunakan metode penelitian kualitatif dengan pendekatan studi kasus, Dalam pengambilan data penelitian dilakukan dengan menggunakan observasi, wawancara dan dokumentasi. Dalam mengambilan informan dilakukan dengan metode purposive sampling dan dengan menggunakan kriteria tertentu. Dari data yang diperoleh tersebut kemudian dianalisa dengan menggunakan metode menurut Miles Dan Heberman dan kemudian dapat diperoleh keabsahan datanya dengan menggunakan triangulasi sumber. Teori Tindakan Sosial yang dijelaskan oleh Max Weber dalam hal ini adalah teori rasional instrumental adalah Tindakan yang dilakukan seseorang didasarkan pada pertimbangan dan pilihan sadar yang berhubungan dengan tujuan  tindakan itu dan ketersediaan alat yang dipergunakan untuk mencapainya.
 Hasil dari penelitian ini menunjukkan bahwa terdapat tiga strategi yang dilakukan oleh masyarakat Desa Sukorejo Kecamatan Wates untuk mempertahankan kayakinan beragama Hindu yaitu memberikan edukasi tentang keagamaan melalui sejak dini, melakukan penyuluhan, dan membangun komunikasi dengan baik dari berbagai pihak. Dengan menggunakan upaya tersebut umat hindu di Desa Sukorejo dapat mepertahankan agamanya.
Kata Kunci : Strategi, Mempertahankan, agama Hindu, Blitar."
20,Tinjauan Mas}lahah Terhadap Penetapan Fatwa Nomor: 73/DSNMUI/XI/2008: Tentang Musha>rakah Mutana>is}ah, Imam Farodhi," Busro Karim, S.Hum.,M.Pd.I",,"Musha>rakah Mutana>qis}ah merupakan sebuah akad pembiayaan dalam muamalah. Akad ini memiliki kriteria khusus yaitu kepemilikan asset (barang) atau modal bisa berkurang karena pembelian bertahap oleh salah satu pihak, yang pada akhirnya keseluruhan asset akan menjadi milik salah satu pihak. Peneliti tertarik untuk mencari dan menganalisis Tinjauan mas}lahah Terhadap Penetapan Fatwa Nomor:73/DSN-MUI/XI/2008: Tentang Musha>rakah Mutana>qis}ah.
 Peneliti ini bertujuan untuk menjawab pertanyaan: 1) Bagaimana urgensi Penetapan Fatwa Nomor 73/DSN-MUI/XI/2008; Tentang Musha>rakah Mutana>qis}ah? 2) Bagaimana mas}lahah Terhadap Penetapan Fatwa Nomor:73/DSN-MUI/XI/2008: Tentang Musha>rakah Mutana>qis}ah? 
Penelitian ini merupukan jenis penelitian kepustakaan (Library Reseach) dengan pendekatan kualitatif. Sumber data primer yang digunakan adalah studi pustaka atau litelatur (dari buku-buku yang berkaitan) dengan fokus terhadap urgensi Penetapan Fatwa Nomor 73/DSN-MUI/XI/2008; Tentang Musyarakah mutanaqishah. Sedangkan sumberdata sekunder diperoleh dari dari majalah, koran, ensiklopedi, jurnal, kitab klasik, dan buku-buku yang memiliki keterkaitan dengan konsep mas}lahah, dan fatwa DSN-MUI tentang muamalah.
Hasil dari penelitian ini yakni 1) Bahwa agar implementasi akad tersebut dilakukan sesuai dengan prinsip-prinsip syariah dan mendapat status hukum yang pasti dalam agama, DSN-MUI memandang perlu menetapkan fatwa tentang musyarakah mutanaqishah. 2) Bolehnya pelaksanaan bermuamalah dengan akad Musha>rakah Mutana>qis}ah akan memberikan jalan kemaslahatan kepada seluruh umat islam, dalam mentasaruf-kan hartanya sesuai dengan ajaran agama islam. apabila tidak ada kepastian hukum baik dari agama maupun Lembaga islam yang dipercaya oleh negara untuk ber ijtihad,  maka tidak diperbolehkan atas pelaksanaan akad musyarakah tersebut. 

Kata Kunci: Mas}lahah, penetapan fatwa, musha>rakah mutana>qis}ah
"
21,Makna Bhubuhan Sebagai Bentuk Pelunasan Hutang Dalam Pernikahan Madura Di Desa Keleyan Kecamatan Socah Kabupaten Bangkalan, Alfiah Nur Rohmah," Dr. Arie Wahyu Prananta, S.Pi, M.Sos",,"Tujuan dari penelitian ini adalah untuk mengetahui bagaimana makna Bhubuhan diartikan sebagai bentuk pelunasan hutang dalam pernikahan Madura yang terjadi di Desa Keleyan Kecamatan Socah Kabupaten Bangkalan. Metode penelitian yang digunakan adalah metode kualitatif deskriptif dengan pendekatan fenomenologi. Penelitian ini menggunakan tiga teknik pengumpulan data yaitu observasi, wawancara dan dokumentasi. Kemudian untuk teknik pemilihan informan menggunakan teknik purposive sampling. Analisis data menggunakan teknik analisis dari Miles & Huberman dan Teknik pemeriksaan keabsan data yang digunakan adalah triangulasi sumber. Sebagai pisau analisis peneliti menggunakan teori Fenomenologi dari Edmund Husserl. Hasil dari penelitian ini menunjukkan bahwa tradisi Bhubuhan di Desa Keleyan dianggap sebagai salah satu sarana bagi masyarakat Desa Keleyan untuk melunasi hutang-hutang yang pernah dilakukan pada saat pesta pernikahan yang diselenggarakan sebelumnya. Tradisi Bhubuhan terus dilakukan karena didasari kesadaran oleh masyrakatnya, dimana tradisi Bhubuhan merupakan bentuk warisan dari para leluhur Desa Keleyan yang dilakukan secara turun temurun, disamping itu masyarakat Desa Keleyan menyadari adanya suatu keharusan untuk mengembalikan Bhubuhan yang telah diterima, karena Bhubuhan tersebut merupakan sebuah hutang.

Kata kunci: Makna, Tradisi Bhubuhan, Hutang, Pernikahan"
22,ANALISIS MANAJEMEN PENGELOLAAN WAKAF TUNAI PRODUKTIF DI BANK WAKAF MIKRO SUMBER BAROKAH DENANYAR JOMBANG, HENI ROSIDAH," DR. ABDUR ROHMAN, S.AG., M.E.I.",,"Penelitian ini dilatar belakangi oleh adanya Bank Wakaf Mikro Sumber Barokah Denanyar Jombang yang merupakan salah satu dari 56 BWM di Indonesia. Program BWM ini merupakan program awal yang dilaunchingkan oleh Presiden Jokowi dalam membumikan keuangan Syariah di Indonesia. Program pengelolaan yang ada pada BWM ini hanya mengelola dana wakaf yang didapatkan dari penyaluran LAZNAS BSM. Jadi untuk pengelolaannya hanya fokus pada penyaluran dana wakaf produktif.  Penyaluran dana BWM ini di dapat dari saluran LAZNAS BSM sebesar Rp. 4.000.000.000,-. Sistem penyalurannya dengan produktif,  kepada masyarakat melalui program KUMPI (Kelompok Usaha Masyarakat Sekitar Pesantren Indonesia). Adanya sistem pengelolaan yang seperti itu, menjadikan Bank Wakaf Mikro Sumber Barokah Denanyar menjadi salah satu bank wakaf yang meraih peringkat 4 dari 56 BWM di seluruh Indonesia, hal ini didukung dengan adanya manajemen yang baik. Sehingga penulis menjadikan masalah ini menjadi judul âAnalisis Manajemen Pengelolaan Wakaf Tunai Produktif di Bank Wakaf Mikro Sumber Barokah Denanyar Jombang.â
Dalam Penelitian kali ini, penulis menggunakan tiga teori sebagai pedoman pembahasan selanjutnya, yakni manajemen, wakaf, dan wakaf produktif. Kemudian penulis menggunakan metodologi penelitian deskiptif kualitatif dengan pengambilan lokasi di Bank Wakaf Mikro Sumber Barokah Denanyar Jombang, pengambilan data primer dan sekunder serta alalisis data kualitatif, uji keabsahan menggunakan triangulasi sumber.
Berdasarkan penelitian Bank Wakaf Mikro Sumber Barokah, skema pendanaan yang ada disana sudah sesuai dengan Undang-Undang No. 41 tahun 2004 pasal 43 tentang ke-na>z}ir-an dalam mengelola dana.  Pada analisis manajemen, BWM Sumber Barokah  sudah melakukan manajemen pengelolaan sesuai dengan indikator teori empat P, yakni perencanaan, pengorganisasian, kepemimpinan dan pengawasan. Hal ini dibuktikan dengan adanya program pendampingan dan sistem tanggung renteng. Sehingga dapat dikatakan bahwa manajemen yang dilakukan dalam pengelolaan wakaf adalah sudah sesuai dengan SOP kegiatan BWM dan sesuai dengan indikator teori, sehingga dapat menjadi contoh serta acuan untuk Lembaga sejenis.

Kata Kunci : Manajemen, Wakaf Tunai Produktif
"
23,IDENTIFIKASI BINER ATRIBUT PEJALAN KAKI MENGGUNAKAN ADAPTIVE BOOSTING CLASSIFIER DENGAN FEATURE LEARNING CNN SEBAGAI EKTRAKSI FITUR, Friska Fatmawatiningrum," Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom.","Prof. Dr. Arief Muntasa, S.Si., M.MT.","Identifikasi atribut pejalan kaki merupakan salah satu penelitian yang banyak dikembangkan para peneliti computer vision, karena fungsinya dianggap sangat penting dalam bidang pengawasan visual. Pada penelitian ini akan dibangun model identifikasi atribut pejalan kaki dengan menggunakan metode Adaboost sebagai classifier dan metode feature learning pada CNN sebagai ekstraksi fitur. Terdapat 2 tahap utama yang dilakukan untuk identifikasi atribut, yaitu ektraksi fitur dan identifikasi atau klasifikasi. Pada tahap ekstraksi fitur digunakan CNN yang memiliki kemampuan feature learning. Pada tahap klasifikasi digunakan Adaptive Boosting Classifier (AdaBoost) dengan weak classifier yaitu decision stump. Dataset yang digunakan adalah PETA dan atribut yang di identifikasi berjumlah tujuh atribut dari 61 atribut biner, yaitu laki-laki, rambut panjang, sandal, celana pendek, tidak membawa
barang, tas ransel, dan topi. Dataset yang digunakan ada 2 yaitu dataset dengan jumlah data positif dan negatif asli dan dataset dengan jumlah data yang diseimbangkan.
Proses uji coba dilakukan dengan membandingkan metode penggabungan feature learning dan adaboost sebagai classifier dengan metode CNN sebagai classifier. Hasil uji coba menggunakan metode CNN sebagai classifier mendapatkan hasil akurasi yang lebih baik dibandingkan dengan metode adaboost sebagai classifier. CNN sebagai
classifier mendapatkan hasil akurasi rata-rata 7 atribut sebesar 43,29% untuk dataset asli dan 73,61% untuk dataset seimbang. Sedangkan adaboost sebagai classifier
mendapat hasil akurasi rata-rata 7 atribut sebesar 16.31% untuk dataset asli dan 58,79% untuk dataset seimbang."
